eta_LT_circular_H0,theta_LT_circular_H0,theta_rr_LT_circular_H0,eta_WNL_circular_H0,theta_WNL_circular_H0,theta_rr_WNL_circular_H0,eta_UR_circular_H0,theta_UR_circular_H0,theta_rr_UR_circular_H0,eta_LT_circular_H1,theta_LT_circular_H1,theta_rr_LT_circular_H1,eta_WNL_circular_H1,theta_WNL_circular_H1,theta_rr_WNL_circular_H1,eta_UR_circular_H1,theta_UR_circular_H1,theta_rr_UR_circular_H1,eta_LT_linear_H0,theta_LT_linear_H0,theta_rr_LT_linear_H0,eta_WNL_linear_H0,theta_WNL_linear_H0,theta_rr_WNL_linear_H0,eta_UR_linear_H0,theta_UR_linear_H0,theta_rr_UR_linear_H0,eta_LT_linear_H1,theta_LT_linear_H1,theta_rr_LT_linear_H1,eta_WNL_linear_H1,theta_WNL_linear_H1,theta_rr_WNL_linear_H1,eta_UR_linear_H1,theta_UR_linear_H1,theta_rr_UR_linear_H1
-2.969995,7.3785007e-05,7.3785007e-05,-2.969995,0.00073785005,0.00073785005,-2.969995,0.0073784839,0.0073784839,-2.969995,7.6584387e-05,7.6584387e-05,-2.969995,0.00076584386,0.00076584386,-2.969995,0.0076584201,0.0076584201,-2.969995,9.2285003e-05,9.2285003e-05,-2.969995,0.00092285001,0.00092285001,-2.969995,0.0092284677,0.0092284677,-2.969995,8.9053087e-05,8.9053087e-05,-2.969995,0.00089053083,0.00089053083,-2.969995,0.0089052792,0.0089052792
-2.9689948,7.6284978e-05,7.6284978e-05,-2.9689948,0.00076284977,0.00076284977,-2.9689948,0.0076284794,0.0076284794,-2.9689948,7.9380543e-05,7.9380543e-05,-2.9689948,0.00079380542,0.00079380542,-2.9689948,0.0079380336,0.0079380336,-2.9689948,9.4558122e-05,9.4558122e-05,-2.9689948,0.00094558119,0.00094558119,-2.9689948,0.009455777,0.009455777,-2.9689948,9.1041276e-05,9.1041276e-05,-2.9689948,0.00091041274,0.00091041274,-2.9689948,0.0091040963,0.0091040963
-2.9679947,7.8781034e-05,7.8781034e-05,-2.9679947,0.00078781032,0.00078781032,-2.9679947,0.007878083,0.007878083,-2.9679947,8.2193357e-05,8.2193357e-05,-2.9679947,0.00082193354,0.00082193354,-2.9679947,0.0082193125,0.0082193125,-2.9679947,9.67414e-05,9.67414e-05,-2.9679947,0.00096741396,0.00096741396,-2.9679947,0.0096741023,0.0096741023,-2.9679947,9.2930059e-05,9.2930059e-05,-2.9679947,0.00092930057,0.00092930057,-2.9679947,0.0092929726,0.0092929726
-2.9669945,8.1272534e-05,8.1272534e-05,-2.9669945,0.00081272531,0.00081272531,-2.9669945,0.008127231,0.008127231,-2.9669945,8.5022918e-05,8.5022918e-05,-2.9669945,0.00085022915,0.00085022915,-2.9669945,0.0085022662,0.0085022662,-2.9669945,9.8831513e-05,9.8831513e-05,-2.9669945,0.00098831509,0.00098831509,-2.9669945,0.009883111,0.009883111,-2.9669945,9.4717257e-05,9.4717257e-05,-2.9669945,0.00094717255,0.00094717255,-2.9669945,0.0094716905,0.0094716905
-2.9659943,8.3758837e-05,8.3758837e-05,-2.9659943,0.00083758835,0.00083758835,-2.9659943,0.0083758593,0.0083758593,-2.9659943,8.7869321e-05,8.7869321e-05,-2.9659943,0.0008786932,0.0008786932,-2.9659943,0.008786904,0.008786904,-2.9659943,0.00010082519,0.00010082519,-2.9659943,0.0010082519,0.0010082519,-2.9659943,0.010082477,0.010082477,-2.9659943,9.6400934e-05,9.6400934e-05,-2.9659943,0.0009640093,0.0009640093,-2.9659943,0.0096400561,0.0096400561
-2.9649942,8.6239304e-05,8.6239304e-05,-2.9649942,0.00086239301,0.00086239301,-2.9649942,0.0086239037,0.0086239037,-2.9649942,9.0732665e-05,9.0732665e-05,-2.9649942,0.00090732662,0.00090732662,-2.9649942,0.0090732354,0.0090732354,-2.9649942,0.00010271924,0.00010271924,-2.9649942,0.0010271923,0.0010271923,-2.9649942,0.010271879,0.010271879,-2.9649942,9.7979399e-05,9.7979399e-05,-2.9649942,0.00097979396,0.00097979396,-2.9649942,0.0097979008,0.0097979008
-2.963994,8.8713287e-05,8.8713287e-05,-2.963994,0.00088713285,0.00088713285,-2.963994,0.0088712997,0.0088712997,-2.963994,9.3613039e-05,9.3613039e-05,-2.963994,0.00093613037,0.00093613037,-2.963994,0.0093612699,0.0093612699,-2.963994,0.0001045105,0.0001045105,-2.963994,0.001045105,0.001045105,-2.963994,0.010451003,0.010451003,-2.963994,9.9451245e-05,9.9451245e-05,-2.963994,0.00099451241,0.00099451241,-2.963994,0.0099450835,0.0099450835
-2.9629938,9.1180146e-05,9.1180146e-05,-2.9629938,0.00091180142,0.00091180142,-2.9629938,0.0091179829,0.0091179829,-2.9629938,9.6510543e-05,9.6510543e-05,-2.9629938,0.00096510541,0.00096510541,-2.9629938,0.009651017,0.009651017,-2.9629938,0.00010619592,0.00010619592,-2.9629938,0.0010619592,0.0010619592,-2.9629938,0.010619542,0.010619542,-2.9629938,0.00010081535,0.00010081535,-2.9629938,0.0010081534,0.0010081534,-2.9629938,0.010081492,0.010081492
-2.9619937,9.3639227e-05,9.3639227e-05,-2.9619937,0.00093639224,0.00093639224,-2.9619937,0.0093638885,0.0093638885,-2.9619937,9.9425271e-05,9.9425271e-05,-2.9619937,0.00099425268,0.00099425268,-2.9619937,0.0099424863,0.0099424863,-2.9619937,0.00010777249,0.00010777249,-2.9619937,0.0010777248,0.0010777248,-2.9619937,0.010777197,0.010777197,-2.9619937,0.0001020709,0.0001020709,-2.9619937,0.001020709,0.001020709,-2.9619937,0.010207046,0.010207046
-2.9609935,9.6089886e-05,9.6089886e-05,-2.9609935,0.00096089883,0.00096089883,-2.9609935,0.0096089517,0.0096089517,-2.9609935,0.00010235732,0.00010235732,-2.9609935,0.0010235732,0.0010235732,-2.9609935,0.010235687,0.010235687,-2.9609935,0.00010923729,0.00010923729,-2.9609935,0.0010923728,0.0010923728,-2.9609935,0.010923674,0.010923674,-2.9609935,0.00010321743,0.00010321743,-2.9609935,0.0010321743,0.0010321743,-2.9609935,0.010321698,0.010321698
-2.9599933,9.8531474e-05,9.8531474e-05,-2.9599933,0.0009853147,0.0009853147,-2.9599933,0.0098531075,0.0098531075,-2.9599933,0.00010530679,0.00010530679,-2.9599933,0.0010530678,0.0010530678,-2.9599933,0.01053063,0.01053063,-2.9599933,0.00011058747,0.00011058747,-2.9599933,0.0011058746,0.0011058746,-2.9599933,0.011058691,0.011058691,-2.9599933,0.00010425483,0.00010425483,-2.9599933,0.0010425482,0.0010425482,-2.9599933,0.010425436,0.010425436
-2.9589932,0.00010096334,0.00010096334,-2.9589932,0.0010096333,0.0010096333,-2.9589932,0.010096291,0.010096291,-2.9589932,0.00010827377,0.00010827377,-2.9589932,0.0010827377,0.0010827377,-2.9589932,0.010827324,0.010827324,-2.9589932,0.00011182028,0.00011182028,-2.9589932,0.0011182028,0.0011182028,-2.9589932,0.01118197,0.01118197,-2.9589932,0.00010518336,0.00010518336,-2.9589932,0.0010518335,0.0010518335,-2.9589932,0.010518287,0.010518287
-2.957993,0.00010338483,0.00010338483,-2.957993,0.0010338483,0.0010338483,-2.957993,0.010338437,0.010338437,-2.957993,0.00011125837,0.00011125837,-2.957993,0.0011125836,0.0011125836,-2.957993,0.011125779,0.011125779,-2.957993,0.00011293306,0.00011293306,-2.957993,0.0011293305,0.0011293305,-2.957993,0.011293246,0.011293246,-2.957993,0.0001060037,0.0001060037,-2.957993,0.001060037,0.001060037,-2.957993,0.010600321,0.010600321
-2.9569928,0.0001057953,0.0001057953,-2.9569928,0.001057953,0.001057953,-2.9569928,0.010579481,0.010579481,-2.9569928,0.00011426068,0.00011426068,-2.9569928,0.0011426067,0.0011426067,-2.9569928,0.011426005,0.011426005,-2.9569928,0.00011392322,0.00011392322,-2.9569928,0.0011392322,0.0011392322,-2.9569928,0.011392261,0.011392261,-2.9569928,0.00010671699,0.00010671699,-2.9569928,0.0010671698,0.0010671698,-2.9569928,0.010671648,0.010671648
-2.9559927,0.00010819409,0.00010819409,-2.9559927,0.0010819409,0.0010819409,-2.9559927,0.010819357,0.010819357,-2.9559927,0.0001172808,0.0001172808,-2.9559927,0.0011728079,0.0011728079,-2.9559927,0.011728012,0.011728012,-2.9559927,0.00011478829,0.00011478829,-2.9559927,0.0011478829,0.0011478829,-2.9559927,0.011478766,0.011478766,-2.9559927,0.0001073248,0.0001073248,-2.9559927,0.001073248,0.001073248,-2.9559927,0.010732429,0.010732429
