x_fwd_H0,y_fwd_H0,x_fwd_H1,y_fwd_H1,x_fwd_H2,y_fwd_H2,x_fwd_H3.5,y_fwd_H3.5,x_fwd_H5,y_fwd_H5,x_back_H0,y_back_H0,x_back_H1,y_back_H1,x_back_H2,y_back_H2,x_back_H3.5,y_back_H3.5,x_back_H5,y_back_H5
-5.4083652e-05,-1.8533213e-05,-4.634267e-05,-3.3679816e-05,-3.303471e-05,-4.3732418e-05,-1.0449701e-05,-4.5726625e-05,5.0601441e-06,-3.5518353e-05,-2.7109771e-06,-9.2898895e-07,-2.7000534e-06,-9.7051894e-07,-2.688177e-06,-1.0118331e-06,-2.6685884e-06,-1.0733423e-06,-2.6468909e-06,-1.1342191e-06
-5.6292838e-05,-1.9743742e-05,-4.7897188e-05,-3.5778758e-05,-3.3548539e-05,-4.6198496e-05,-9.5795989e-06,-4.7598486e-05,6.2317583e-06,-3.6196828e-05,-2.8217139e-06,-9.8966749e-07,-2.8098433e-06,-1.033801e-06,-2.7969395e-06,-1.0776952e-06,-2.7756604e-06,-1.1430246e-06,-2.7520958e-06,-1.2076532e-06
-5.8540481e-05,-2.1007232e-05,-4.9449816e-05,-3.7959957e-05,-3.4006487e-05,-4.8735868e-05,-8.6246458e-06,-4.9463092e-05,7.4261213e-06,-3.6816705e-05,-2.9343784e-06,-1.0530008e-06,-2.9214998e-06,-1.0998424e-06,-2.9075025e-06,-1.1464194e-06,-2.8844247e-06,-1.2157186e-06,-2.858874e-06,-1.2842429e-06
-6.0825906e-05,-2.2324873e-05,-5.0998318e-05,-4.0224544e-05,-3.4405207e-05,-5.1343553e-05,-7.5847907e-06,-5.131603e-05,8.6383461e-06,-3.7377258e-05,-3.0489368e-06,-1.1190483e-06,-3.0349864e-06,-1.1687045e-06,-3.0198267e-06,-1.2180685e-06,-2.9948372e-06,-1.2914894e-06,-2.9671765e-06,-1.3640552e-06
-6.314841e-05,-2.369785e-05,-5.2540406e-05,-4.2573607e-05,-3.4741365e-05,-5.402044e-05,-6.460245e-06,-5.3152887e-05,9.863528e-06,-3.7878219e-05,-3.1653538e-06,-1.1878697e-06,-3.1502652e-06,-1.2404485e-06,-3.1338713e-06,-1.2927054e-06,-3.1068526e-06,-1.3704019e-06,-3.0769527e-06,-1.4471565e-06
-6.5507259e-05,-2.5127346e-05,-5.4073745e-05,-4.5008184e-05,-3.5011642e-05,-5.676529e-05,-5.2514823e-06,-5.4969273e-05,1.1096787e-05,-3.8319781e-05,-3.2835926e-06,-1.2595241e-06,-3.2672966e-06,-1.3151353e-06,-3.2495937e-06,-1.3703924e-06,-3.2204235e-06,-1.4525205e-06,-3.1881502e-06,-1.5336129e-06
-6.7901693e-05,-2.6614539e-05,-5.5595953e-05,-4.7529268e-05,-3.5212739e-05,-5.9576735e-05,-3.9592361e-06,-5.676083e-05,1.2333313e-05,-3.8702588e-05,-3.4036151e-06,-1.3340706e-06,-3.3860397e-06,-1.3928257e-06,-3.3669501e-06,-1.4511918e-06,-3.335501e-06,-1.5379093e-06,-3.3007147e-06,-1.6234901e-06
-7.033092e-05,-2.8160604e-05,-5.7104598e-05,-5.0137798e-05,-3.5341382e-05,-6.2453278e-05,-2.5844964e-06,-5.8523255e-05,1.3568404e-05,-3.9027727e-05,-3.5253816e-06,-1.411568e-06,-3.506452e-06,-1.47358e-06,-3.4858948e-06,-1.5351655e-06,-3.4520347e-06,-1.6266323e-06,-3.4145904e-06,-1.7168533e-06
-7.2794121e-05,-2.9766708e-05,-5.8597202e-05,-5.2834666e-05,-3.5394325e-05,-6.5393295e-05,-1.1285056e-06,-6.0252312e-05,1.4797513e-05,-3.929672e-05,-3.6488511e-06,-1.492075e-06,-3.6284895e-06,-1.5574583e-06,-3.6063806e-06,-1.622375e-06,-3.5699722e-06,-1.7187525e-06,-3.5297195e-06,-1.8137672e-06
-7.5290446e-05,-3.1434014e-05,-6.0071244e-05,-5.5620707e-05,-3.536836e-05,-6.8395033e-05,4.0724644e-07,-6.194385e-05,1.6016284e-05,-3.95115e-05,-3.7739809e-06,-1.5756497e-06,-3.7521065e-06,-1.6445206e-06,-3.7283589e-06,-1.7128815e-06,-3.6892597e-06,-1.8143329e-06,-3.6460424e-06,-1.9142957e-06
