theta_deg,dW_LT,dW_WNL,dW_UR,dW_H0,dW_H1,dW_H2,dW_H3.5,dW_H5,dW_s0.3,dW_s0.5,dW_s0.7,dW_s1.0,dW_s1.4,dW_s2.0
0.25851126,0.99331855,0.0021042185,4.9932839e-08,0.0021042185,1.5980573e-09,0.0021048957,0.080008622,0.30456428,0.0018597295,0.0020498421,0.0020848737,0.0021042185,0.0021140146,0.0021193087
0.26278723,0.9933186,0.0021043003,5.0129525e-08,0.0021043003,2.0334623e-09,0.0021049773,0.080009095,0.30456492,0.0018598043,0.0020499225,0.0020849549,0.0021043003,0.0021140965,0.0021193908
0.26713393,0.99331866,0.0021043848,5.0333614e-08,0.0021043848,2.6356065e-09,0.0021050616,0.080009583,0.30456558,0.0018598817,0.0020500055,0.0020850388,0.0021043848,0.0021141813,0.0021194756
0.27155252,0.99331872,0.0021044721,5.0545416e-08,0.0021044721,3.4883806e-09,0.0021051488,0.080010088,0.30456626,0.0018599617,0.0020500913,0.0020851254,0.0021044721,0.0021142688,0.0021195633
0.27604421,0.99331878,0.0021045623,5.0765253e-08,0.0021045623,4.729398e-09,0.0021052388,0.080010609,0.30456697,0.0018600443,0.00205018,0.002085215,0.0021045623,0.0021143593,0.0021196539
0.28061019,0.99331884,0.0021046555,5.0993466e-08,0.0021046555,6.593024e-09,0.0021053319,0.080011148,0.3045677,0.0018601297,0.0020502717,0.0020853076,0.0021046555,0.0021144528,0.0021197475
0.28525169,0.99331891,0.0021047519,5.1230408e-08,0.0021047519,9.4961171e-09,0.0021054281,0.080011705,0.30456845,0.001860218,0.0020503664,0.0020854033,0.0021047519,0.0021145494,0.0021198442
0.28996997,0.99331897,0.0021048515,5.1476455e-08,0.0021048515,1.4218855e-08,0.0021055275,0.08001228,0.30456923,0.0018603092,0.0020504642,0.0020855021,0.0021048515,0.0021146492,0.0021199442
0.29476629,0.99331904,0.0021049544,5.1731997e-08,0.0021049544,2.231251e-08,0.0021056302,0.080012874,0.30457003,0.0018604035,0.0020505654,0.0020856043,0.0021049544,0.0021147524,0.0021200475
0.29964195,0.99331911,0.0021050607,5.1997448e-08,0.0021050607,3.7095888e-08,0.0021057363,0.080013489,0.30457086,0.0018605009,0.0020506699,0.0020857099,0.0021050607,0.002114859,0.0021201543
0.30459825,0.99331919,0.0021051706,5.2273241e-08,0.0021051706,6.6341611e-08,0.002105846,0.080014124,0.30457172,0.0018606015,0.0020507779,0.002085819,0.0021051706,0.0021149692,0.0021202647
0.30963654,0.99331926,0.0021052841,5.255983e-08,0.0021052841,1.3046836e-07,0.0021059594,0.08001478,0.30457261,0.0018607056,0.0020508896,0.0020859317,0.0021052841,0.0021150831,0.0021203787
0.31475816,0.99331934,0.0021054015,5.2857696e-08,0.0021054015,2.9186076e-07,0.0021060766,0.080015457,0.30457353,0.0018608131,0.0020510049,0.0020860483,0.0021054015,0.0021152007,0.0021204965
0.3199645,0.99331942,0.0021055228,5.3167342e-08,0.0021055228,7.8532914e-07,0.0021061976,0.080016158,0.30457448,0.0018609242,0.0020511241,0.0020861687,0.0021055228,0.0021153223,0.0021206183
0.32525695,0.9933195,0.0021056481,5.3489301e-08,0.0021056481,2.8156773e-06,0.0021063228,0.080016882,0.30457546,0.001861039,0.0020512473,0.0020862931,0.0021056481,0.002115448,0.0021207441
0.33063694,0.99331959,0.0021057776,5.3824132e-08,0.0021057776,1.6774297e-05,0.0021064521,0.08001763,0.30457647,0.0018611577,0.0020513747,0.0020864217,0.0021057776,0.0021155779,0.0021208742
0.33610593,0.99331968,0.0021059114,5.4172425e-08,0.0021059114,0.00031507765,0.0021065857,0.080018403,0.30457751,0.0018612803,0.0020515063,0.0020865546,0.0021059114,0.0021157121,0.0021210086
0.34166537,0.99331977,0.0021060497,5.4534805e-08,0.0021060497,0.69306691,0.0021067238,0.080019202,0.30457859,0.001861407,0.0020516422,0.002086692,0.0021060497,0.0021158507,0.0021211474
0.34731678,0.99331986,0.0021061927,5.4911929e-08,0.0021061927,0.026660022,0.0021068665,0.080020027,0.30457971,0.001861538,0.0020517828,0.0020868339,0.0021061927,0.0021159941,0.002121291
0.35306166,0.99331996,0.0021063404,5.5304491e-08,0.0021063404,0.0022883878,0.002107014,0.08002088,0.30458086,0.0018616734,0.002051928,0.0020869806,0.0021063404,0.0021161422,0.0021214393
0.35890156,0.99332006,0.002106493,5.5713225e-08,0.002106493,0.00039235641,0.0021071664,0.080021762,0.30458206,0.0018618133,0.0020520781,0.0020871322,0.002106493,0.0021162952,0.0021215926
