x_linear_H0,y_linear_H0,x_linear_H1,y_linear_H1,x_circular_H0,y_circular_H0,x_circular_H1,y_circular_H1,x_elliptical_H0,y_elliptical_H0,x_elliptical_H1,y_elliptical_H1
-7.6485835e-05,0,-7.1259004e-05,-2.2463454e-05,-5.4083652e-05,-1.8533213e-05,-4.634267e-05,-3.3679816e-05,-6.5586062e-05,-1.3484893e-05,-5.8160882e-05,-3.2210567e-05
-7.9610095e-05,0,-7.3946908e-05,-2.3832284e-05,-5.6292838e-05,-1.9743742e-05,-4.7897188e-05,-3.5778758e-05,-6.8265093e-05,-1.4365682e-05,-6.0213903e-05,-3.4207276e-05
-8.2788742e-05,0,-7.6662911e-05,-2.5252061e-05,-5.8540481e-05,-2.1007232e-05,-4.9449816e-05,-3.7959957e-05,-7.099076e-05,-1.5285007e-05,-6.2275188e-05,-3.6281311e-05
-8.6020821e-05,0,-7.9405093e-05,-2.6723295e-05,-6.0825906e-05,-2.2324873e-05,-5.0998318e-05,-4.0224544e-05,-7.3762246e-05,-1.6243731e-05,-6.4342449e-05,-3.8433669e-05
-8.9305338e-05,0,-8.2171484e-05,-2.8246463e-05,-6.314841e-05,-2.369785e-05,-5.2540406e-05,-4.2573607e-05,-7.6578695e-05,-1.7242719e-05,-6.6413347e-05,-4.0665306e-05
-9.2641255e-05,0,-8.4960064e-05,-2.9822001e-05,-6.5507259e-05,-2.5127346e-05,-5.4073745e-05,-4.5008184e-05,-7.943922e-05,-1.828283e-05,-6.8485491e-05,-4.2977126e-05
-9.6027495e-05,0,-8.7768766e-05,-3.1450309e-05,-6.7901693e-05,-2.6614539e-05,-5.5595953e-05,-4.7529268e-05,-8.2342898e-05,-1.9364922e-05,-7.0556436e-05,-4.5369989e-05
-9.9462941e-05,0,-9.0595472e-05,-3.3131746e-05,-7.033092e-05,-2.8160604e-05,-5.7104598e-05,-5.0137798e-05,-8.5288769e-05,-2.0489849e-05,-7.2623688e-05,-4.7844702e-05
-0.00010294643,0,-9.3438018e-05,-3.4866632e-05,-7.2794121e-05,-2.9766708e-05,-5.8597202e-05,-5.2834666e-05,-8.8275838e-05,-2.1658461e-05,-7.4684703e-05,-5.0402022e-05
-0.00010647677,0,-9.6294192e-05,-3.6655243e-05,-7.5290446e-05,-3.1434014e-05,-6.0071244e-05,-5.5620707e-05,-9.1303076e-05,-2.2871605e-05,-7.6736886e-05,-5.3042653e-05
-0.00011005271,0,-9.9161736e-05,-3.8497817e-05,-7.7819015e-05,-3.316368e-05,-6.1524155e-05,-5.8496704e-05,-9.4369417e-05,-2.4130121e-05,-7.8777593e-05,-5.5767246e-05
-0.00011367296,0,-0.00010203835,-4.0394544e-05,-8.0378921e-05,-3.4956854e-05,-6.2953324e-05,-6.1463383e-05,-9.7473759e-05,-2.5434847e-05,-8.0804135e-05,-5.8576394e-05
-0.0001173362,0,-0.00010492167,-4.2345576e-05,-8.2969224e-05,-3.6814678e-05,-6.4356095e-05,-6.4521414e-05,-0.00010061496,-2.6786613e-05,-8.2813774e-05,-6.1470637e-05
-0.00012104106,0,-0.00010780932,-4.4351015e-05,-8.5588956e-05,-3.8738286e-05,-6.5729773e-05,-6.7671406e-05,-0.00010379185,-2.8186243e-05,-8.4803726e-05,-6.4450453e-05
-0.00012478613,0,-0.00011069885,-4.6410919e-05,-8.8237119e-05,-4.0728802e-05,-6.7071619e-05,-7.0913911e-05,-0.00010700322,-2.9634556e-05,-8.6771162e-05,-6.7516263e-05
-0.00012856995,0,-0.00011358777,-4.8525303e-05,-9.0912684e-05,-4.278734e-05,-6.8378857e-05,-7.4249416e-05,-0.00011024782,-3.1132363e-05,-8.8713212e-05,-7.0668427e-05
-0.00013239103,0,-0.00011647358,-5.0694129e-05,-9.3614592e-05,-4.4915006e-05,-6.9648669e-05,-7.7678347e-05,-0.00011352437,-3.2680467e-05,-9.0626959e-05,-7.3907242e-05
-0.00013624782,0,-0.0001193537,-5.2917315e-05,-9.6341755e-05,-4.7112892e-05,-7.0878202e-05,-8.1201064e-05,-0.00011683154,-3.4279664e-05,-9.2509447e-05,-7.7232942e-05
-0.00014013874,0,-0.00012222552,-5.519473e-05,-9.9093054e-05,-4.9382081e-05,-7.2064565e-05,-8.4817864e-05,-0.00012016798,-3.5930742e-05,-9.435768e-05,-8.0645697e-05
-0.00014406217,0,-0.0001250864,-5.7526192e-05,-0.00010186734,-5.1723642e-05,-7.3204834e-05,-8.8528974e-05,-0.00012353229,-3.7634477e-05,-9.6168621e-05,-8.4145611e-05
-0.00014801644,0,-0.00012793365,-5.991147e-05,-0.00010466343,-5.4138631e-05,-7.4296048e-05,-9.2334553e-05,-0.00012692305,-3.939164e-05,-9.7939196e-05,-8.773272e-05
-0.00015199984,0,-0.00013076456,-6.2350281e-05,-0.00010748012,-5.6628091e-05,-7.5335216e-05,-9.6234691e-05,-0.00013033879,-4.1202988e-05,-9.9666294e-05,-9.1406993e-05
-0.00015601061,0,-0.00013357635,-6.484229e-05,-0.00011031616,-5.9193051e-05,-7.6319315e-05,-0.00010022941,-0.00013377799,-4.3069271e-05,-0.00010134677,-9.5168328e-05
-0.00016004696,0,-0.00013636623,-6.7387112e-05,-0.00011317029,-6.1834523e-05,-7.724529e-05,-0.00010431865,-0.00013723913,-4.4991224e-05,-0.00010297744,-9.9016554e-05
