a0,H0,Q
3.9263134,0.007518797,0.00061846931
3.9948802,0.007518797,0.00063216903
4.0646444,0.007518797,0.00064591236
4.1356269,0.007518797,0.00065969424
4.207849,0.007518797,0.00067350965
4.2813324,0.007518797,0.00068735362
4.356099,0.007518797,0.00070122127
4.4321713,0.007518797,0.00071510777
4.5095721,0.007518797,0.00072900838
4.5883246,0.007518797,0.00074291844
4.6684524,0.007518797,0.00075683337
4.7499794,0.007518797,0.00077074865
4.8329302,0.007518797,0.00078465988
4.9173296,0.007518797,0.00079856273
5.003203,0.007518797,0.00081245297
5.0905759,0.007518797,0.00082632645
5.1794747,0.007518797,0.00084017914
5.2699259,0.007518797,0.00085400707
5.3619568,0.007518797,0.00086780639
5.4555948,0.007518797,0.00088157336
5.550868,0.007518797,0.0008953043
5.6478051,0.007518797,0.00090899568
5.746435,0.007518797,0.00092264403
5.8467873,0.007518797,0.00093624599
5.9488921,0.007518797,0.00094979832
6.05278,0.007518797,0.00096329785
6.1584821,0.007518797,0.00097674155
6.2660302,0.007518797,0.00099012646
6.3754564,0.007518797,0.0010034497
6.4867935,0.007518797,0.0010167086
6.600075,0.007518797,0.0010299004
6.7153348,0.007518797,0.0010430226
6.8326074,0.007518797,0.0010560728
6.951928,0.007518797,0.0010690486
7.0733323,0.007518797,0.0010819477
7.1968567,0.007518797,0.001094768
7.3225383,0.007518797,0.0011075073
7.4504148,0.007518797,0.0011201638
7.5805244,0.007518797,0.0011327355
7.7129061,0.007518797,0.0011452206
7.8475997,0.007518797,0.0011576175
7.9846455,0.007518797,0.0011699244
8.1240846,0.007518797,0.0011821399
8.2659587,0.007518797,0.0011942625
8.4103105,0.007518797,0.0012062909
8.5571831,0.007518797,0.0012182237
8.7066207,0.007518797,0.0012300597
8.8586679,0.007518797,0.0012417978
9.0133704,0.007518797,0.001253437
9.1707745,0.007518797,0.0012649762
9.3309274,0.007518797,0.0012764146
9.4938772,0.007518797,0.0012877514
9.6596726,0.007518797,0.0012989857
9.8283633,0.007518797,0.0013101168
10,0.007518797,0.0013211442
10.174634,0.007518797,0.0013320672
10.352318,0.007518797,0.0013428853
10.533104,0.007518797,0.0013535982
10.717048,0.007518797,0.0013642053
10.904204,0.007518797,0.0013747065
11.094629,0.007518797,0.0013851013
11.288379,0.007518797,0.0013953896
11.485512,0.007518797,0.0014055712
11.686089,0.007518797,0.001415646
11.890167,0.007518797,0.001425614
12.09781,0.007518797,0.001435475
12.309079,0.007518797,0.0014452291
12.524038,0.007518797,0.0014548765
12.74275,0.007518797,0.0014644171
12.965282,0.007518797,0.0014738512
13.1917,0.007518797,0.001483179
13.422072,0.007518797,0.0014924006
13.656467,0.007518797,0.0015015163
13.894955,0.007518797,0.0015105265
14.137608,0.007518797,0.0015194315
14.384499,0.007518797,0.0015282317
14.635701,0.007518797,0.0015369273
