z_over_lambda,I_over_Imax
13.64831,6.8728517e-05
13.685857,6.5645281e-05
13.723404,6.2693928e-05
13.760951,5.9869118e-05
13.798498,5.7165715e-05
13.836045,5.4578778e-05
13.873592,5.2103553e-05
13.911139,4.9735471e-05
13.948686,4.7470135e-05
13.986233,4.5303319e-05
14.02378,4.3230961e-05
14.061327,4.1249155e-05
14.098874,3.9354148e-05
14.136421,3.7542331e-05
14.173967,3.5810238e-05
14.211514,3.4154538e-05
14.249061,3.2572033e-05
14.286608,3.1059647e-05
14.324155,2.9614429e-05
14.361702,2.8233544e-05
14.399249,2.691427e-05
14.436796,2.5653992e-05
14.474343,2.4450203e-05
14.51189,2.3300492e-05
14.549437,2.2202549e-05
14.586984,2.1154155e-05
14.624531,2.0153181e-05
14.662078,1.9197586e-05
14.699625,1.8285409e-05
14.737171,1.7414772e-05
14.774718,1.6583871e-05
14.812265,1.579098e-05
14.849812,1.5034439e-05
14.887359,1.4312661e-05
14.924906,1.3624122e-05
14.962453,1.2967361e-05
15,1.234098e-05
