eV_LT,dW_LT,eV_WNL,dW_WNL,eV_UR,dW_UR
0.061467889,0.88724774,9.9549583,0.97355864,9439.829,0.96973102
0.063267347,0.89177284,10.246387,0.97567198,9716.1778,0.97201826
0.065119484,0.89624714,10.546348,0.97771168,10000.617,0.97423149
0.067025842,0.90066819,10.85509,0.97967588,10293.383,0.97636879
0.068988009,0.90503351,11.17287,0.98156273,10594.719,0.97842816
0.071007617,0.90934055,11.499954,0.98337029,10904.877,0.98040761
0.073086349,0.91358672,11.836612,0.98509663,11224.115,0.98230513
0.075225935,0.91776942,12.183126,0.98673975,11552.698,0.98411869
0.077428157,0.92188584,12.539784,0.98829757,11890.901,0.98584612
0.079694849,0.92593325,12.906884,0.98976808,12239.004,0.98748532
0.082027897,0.92990885,13.28473,0.99114928,12597.298,0.9890343
0.084429245,0.93380985,13.673637,0.99243908,12966.081,0.99049092
0.086900892,0.93763333,14.07393,0.99363539,13345.66,0.99185293
0.089444896,0.94137633,14.485941,0.99473617,13736.351,0.99311817
0.092063375,0.94503584,14.910014,0.99573915,14138.48,0.99428444
0.09475851,0.94860883,15.346501,0.99664219,14552.381,0.99534948
0.097532543,0.95209219,15.795766,0.99744312,14978.398,0.99631098
0.10038779,0.95548272,16.258184,0.99813966,15416.888,0.99716675
0.10332662,0.95877727,16.734138,0.99872958,15868.214,0.99791444
0.10635148,0.96197254,17.224026,0.9992106,16332.752,0.99855175
0.10946489,0.96506523,17.728256,0.99958045,16810.889,0.99907633
0.11266945,0.968052,18.247247,0.99983682,17303.024,0.99948582
0.11596783,0.97092943,18.781431,0.99997742,17809.567,0.99977781
0.11936276,0.97369407,19.331253,1,18330.938,0.99994999
0.12285708,0.97634243,19.897171,0.99990212,18867.572,1
0.12645369,0.97887097,20.479656,0.99968145,19419.915,0.99992537
0.13015559,0.98127612,21.079193,0.99933554,19988.429,0.99972365
0.13396587,0.98355424,21.696282,0.99886195,20573.586,0.99939241
0.13788769,0.98570167,22.331435,0.99825835,21175.873,0.99892918
0.14192432,0.9877147,22.985183,0.99752232,21795.792,0.99833151
0.14607912,0.98958962,23.658069,0.99665143,22433.859,0.99759691
0.15035555,0.99132263,24.350654,0.99564325,23090.605,0.99672296
0.15475718,0.99290996,25.063513,0.99449543,23766.577,0.99570719
0.15928766,0.99434776,25.797242,0.99320559,24462.338,0.9945471
0.16395077,0.99563217,26.552451,0.99177123,25178.467,0.99324026
0.16875039,0.99675931,27.329767,0.99018991,25915.561,0.99178417
0.17369052,0.99772529,28.12984,0.98845923,26674.233,0.9901764
0.17877527,0.99852617,28.953335,0.98657675,27455.115,0.9884145
0.18400888,0.99915803,29.800937,0.98454011,28258.858,0.98649607
0.18939569,0.99961693,30.673353,0.98234693,29086.129,0.98441867
0.19494021,0.99989892,31.571308,0.97999485,29937.619,0.9821799
0.20064704,1,32.495551,0.97748153,30814.036,0.97977734
0.20652094,0.99991627,33.446851,0.97480464,31716.11,0.97720865
0.21256679,0.99964374,34.426,0.97196191,32644.592,0.9744715
0.21878963,0.9991785,35.433813,0.96895114,33600.255,0.97156357
0.22519465,0.99851663,36.47113,0.96577007,34583.895,0.96848264
0.23178717,0.99765419,37.538814,0.96241649,35596.33,0.96522649
0.23857269,0.99658734,38.637754,0.95888824,36638.405,0.96179294
0.24555685,0.99531211,39.768866,0.95518307,37710.986,0.95817972
0.25274547,0.99382468,40.93309,0.95129904,38814.966,0.95438479
0.26014454,0.99212133,42.131397,0.94723415,39951.266,0.95040619
0.26776021,0.9901984,43.364784,0.94298651,41120.83,0.94624194
0.27559883,0.98805221,44.634278,0.9385542,42324.633,0.94189005
0.28366692,0.98567916,45.940937,0.93393551,43563.677,0.93734881
0.29197121,0.98307575,47.285847,0.92912869,44838.994,0.93261642
0.3005186,0.98023854,48.67013,0.92413208,46151.645,0.92769123
0.30931621,0.97716418,50.094937,0.91894414,47502.724,0.9225717
0.31837137,0.97384939,51.561454,0.9135634,48893.355,0.91725634
0.32769162,0.9702911,53.070904,0.90798853,50324.697,0.91174374
0.33728472,0.96648621,54.624543,0.90221824,51797.941,0.90603263
0.34715865,0.96243182,56.223664,0.89625143,53314.314,0.90012188
0.35732164,0.95812515,57.869599,0.89008703,54875.079,0.8940104
0.36778215,0.95356358,59.563718,0.88372418,56481.534,0.88769725
0.37854889,0.94874464,61.307433,0.87716212,58135.018,0.88118167
0.38963083,0.94366601,63.102194,0.8704002,59836.907,0.87446306
0.40103718,0.93832554,64.949496,0.86343794,61588.619,0.86754086
0.41277745,0.93272127,66.850878,0.85627507,63391.612,0.86041483
0.42486142,0.92685144,68.807922,0.84891139,65247.387,0.85308481
0.43729914,0.92071454,70.822258,0.84134696,67157.489,0.84555079
0.45010097,0.91430924,72.895564,0.83358195,69123.51,0.83781292
0.46327757,0.90763442,75.029565,0.82561666,71147.085,0.82987155
0.47683992,0.90068924,77.226038,0.81745178,73229.899,0.82172731
0.4907993,0.89347311,79.486813,0.80908802,75373.688,0.81338094
0.50516734,0.88598574,81.813771,0.80052637,77580.236,0.8048334
0.519956,0.87822709,84.208851,0.79176807,79851.379,0.79608592
0.53517759,0.87019742,86.674046,0.78281463,82189.01,0.78713996
0.55084479,0.86189729,89.211409,0.7736677,84595.075,0.77799733
0.56697065,0.85332762,91.823052,0.76432916,87071.576,0.76865992
0.58356859,0.84448963,94.511151,0.75480119,89620.577,0.75912994
0.60065242,0.83538491,97.277944,0.74508624,92244.199,0.74940975
0.61823639,0.82601541,100.12573,0.73518704,94944.627,0.7395021
0.63633512,0.81638344,103.05689,0.72510659,97724.109,0.72941008
0.65496368,0.80649169,106.07386,0.71484823,100584.96,0.71913694
0.67413759,0.79634328,109.17915,0.70441553,103529.56,0.70868628
0.69387282,0.78594169,112.37534,0.69381236,106560.37,0.69806207
0.71418579,0.77529093,115.6651,0.6830429,109679.9,0.6872686
0.73509341,0.76439531,119.05117,0.67211165,112890.75,0.67631038
0.75661311,0.75325962,122.53637,0.66102345,116195.6,0.66519225
0.77876278,0.74188905,126.12359,0.64978342,119597.2,0.65391941
0.80156089,0.73028942,129.81583,0.63839712,123098.38,0.64249739
0.8250264,0.71846692,133.61616,0.62687036,126702.06,0.63093212
0.84917886,0.70642819,137.52775,0.61520939,130411.23,0.61922976
0.87403838,0.6941804,141.55384,0.60342066,134228.99,0.60739703
0.89962565,0.68173124,145.69779,0.59151109,138158.52,0.5954408
0.92596199,0.66908886,149.96306,0.57948799,142203.08,0.58336842
0.95306931,0.65626181,154.3532,0.5673588,146366.04,0.57118753
0.9809702,0.64325927,158.87185,0.55513146,150650.87,0.55890614
1.0096879,0.63009087,163.52279,0.54281423,155061.14,0.54653252
1.0392463,0.61676668,168.30988,0.53041579,159600.52,0.53407537
1.06967,0.60329733,173.23712,0.51794504,164272.79,0.5215437
1.1009843,0.58969391,178.30859,0.50541129,169081.84,0.50894698
1.1332154,0.57596794,183.52854,0.49282414,174031.67,0.49629487
1.16639,0.56213142,188.90129,0.48019346,179126.41,0.4835974
1.2005358,0.54819688,194.43134,0.46752944,184370.29,0.47086486
1.2356812,0.53417721,200.12327,0.45484261,189767.69,0.45810779
1.2718555,0.52008572,205.98183,0.44214368,195323.1,0.44533708
1.3090888,0.5059361,212.0119,0.42944377,201041.14,0.43256395
1.347412,0.49174252,218.2185,0.4167543,206926.57,0.41979979
1.3868572,0.47751942,224.6068,0.40408659,212984.3,0.40705627
1.4274572,0.4632816,231.18211,0.39145235,219219.36,0.39434517
1.4692456,0.44904408,237.94992,0.3788635,225636.96,0.38167849
1.5122575,0.4348223,244.91585,0.36633208,232242.43,0.36906837
1.5565285,0.42063175,252.0857,0.35387015,239041.28,0.35652709
1.6020955,0.40648825,259.46546,0.34149,246039.16,0.34406702
1.6489965,0.39240773,267.06125,0.32920399,253241.9,0.33170053
1.6972705,0.37840616,274.8794,0.31702444,260655.49,0.31944014
1.7469577,0.36449964,282.92644,0.3049636,268286.12,0.30729835
1.7980995,0.3507043,291.20904,0.29303379,276140.14,0.29528761
1.8507384,0.33703618,299.73412,0.28124718,284224.08,0.2834201
1.9049184,0.32351117,308.50877,0.26961574,292544.67,0.27170802
1.9606844,0.31014517,317.54029,0.25815142,301108.85,0.26016336
2.018083,0.29695381,326.83621,0.24686584,309923.75,0.24879796
2.0771619,0.28395233,336.40427,0.23577056,318996.69,0.23762339
2.1379704,0.27115583,346.25243,0.22487668,328335.25,0.22665095
2.200559,0.25857894,356.38889,0.2141948,337947.19,0.21589146
2.2649798,0.24623582,366.82209,0.20373533,347840.52,0.20535538
2.3312866,0.23414027,377.56073,0.19350814,358023.47,0.19505271
2.3995345,0.22230529,388.61373,0.18352285,368504.52,0.18499306
2.4697803,0.21074377,399.99031,0.1737887,379292.41,0.17518586
2.5420826,0.19946751,411.69994,0.16431378,390396.11,0.16563948
2.6165014,0.18848748,423.75236,0.15510579,401824.87,0.15636147
2.6930989,0.17781393,436.15761,0.1461718,413588.2,0.1473591
2.7719388,0.16745626,448.92603,0.13751827,425695.9,0.13863902
2.8530867,0.15742307,462.06823,0.12915074,438158.05,0.13020668
2.9366101,0.14772187,475.59518,0.12107418,450985.03,0.12206713
3.0225787,0.13835923,489.51812,0.11329262,464187.51,0.11422457
3.111064,0.12934076,503.84865,0.10580928,477776.49,0.10668236
3.2021397,0.12067104,518.5987,0.098626682,491763.29,0.099442879
3.2958816,0.11235334,533.78056,0.091746379,506159.55,0.092507848
3.3923678,0.10439015,549.40686,0.085169066,520977.26,0.0858779
3.4916786,0.096782626,565.49063,0.078894615,536228.75,0.079552995
3.5938967,0.089530897,582.04524,0.072921937,551926.72,0.073532144
3.6991072,0.082633941,599.08448,0.067249204,568084.25,0.06781344
3.8073977,0.076089677,616.62254,0.061873626,584714.79,0.062394097
3.9188584,0.06989489,634.67402,0.056791611,601832.18,0.057270485
4.0335821,0.06404531,653.25396,0.051998653,619450.68,0.052438236
4.1516643,0.05853566,672.37782,0.047489669,637584.96,0.047892124
4.2732033,0.053359675,692.06153,0.043258715,656250.11,0.043626113
4.3983004,0.048510088,712.32147,0.039298935,675461.68,0.03963352
4.5270596,0.043978831,733.17452,0.035603113,695235.67,0.035906936
4.6595883,0.039756908,754.63804,0.032163274,715588.54,0.032438324
4.7959967,0.035834682,776.7299,0.02897084,736537.23,0.029219121
4.9363984,0.032201699,799.46849,0.026016767,758099.19,0.026240207
5.0809103,0.028846996,822.87275,0.02329157,780292.37,0.023492037
5.2296528,0.025759038,846.96216,0.020785398,803135.25,0.020964658
5.3827497,0.022925831,871.75678,0.01848806,826646.85,0.018647799
5.5403285,0.020335068,897.27726,0.016389102,850846.75,0.016531004
5.7025203,0.017974137,923.54485,0.014477974,875755.1,0.014603582
