theta,q3_over_t,dq3
2.2942869,-0.0088634939,0.97986997
2.2980817,-0.0087819474,0.98002065
2.3018766,-0.008701175,0.98017022
2.3056714,-0.008621169,0.98031867
2.3094662,-0.0085419218,0.98046603
2.3132611,-0.008463426,0.98061229
2.3170559,-0.0083856742,0.98075747
2.3208507,-0.008308659,0.98090157
2.3246455,-0.0082323732,0.98104461
2.3284404,-0.0081568096,0.98118658
2.3322352,-0.0080819611,0.9813275
2.33603,-0.0080078207,0.98146737
2.3398249,-0.0079343814,0.98160621
2.3436197,-0.0078616364,0.98174401
2.3474145,-0.0077895788,0.98188079
2.3512093,-0.0077182018,0.98201656
2.3550042,-0.0076474989,0.98215132
2.358799,-0.0075774633,0.98228507
2.3625938,-0.0075080887,0.98241784
2.3663887,-0.0074393684,0.98254962
2.3701835,-0.0073712961,0.98268041
2.3739783,-0.0073038654,0.98281024
2.3777731,-0.0072370702,0.9829391
2.381568,-0.007170904,0.98306701
2.3853628,-0.0071053609,0.98319396
2.3891576,-0.0070404348,0.98331997
2.3929525,-0.0069761195,0.98344504
2.3967473,-0.0069124092,0.98356918
2.4005421,-0.0068492979,0.9836924
2.4043369,-0.0067867799,0.98381471
2.4081318,-0.0067248493,0.9839361
2.4119266,-0.0066635003,0.98405659
2.4157214,-0.0066027275,0.98417618
2.4195163,-0.0065425251,0.98429489
2.4233111,-0.0064828875,0.98441271
2.4271059,-0.0064238094,0.98452965
2.4309008,-0.0063652852,0.98464572
2.4346956,-0.0063073096,0.98476093
2.4384904,-0.0062498773,0.98487528
2.4422852,-0.006192983,0.98498878
2.4460801,-0.0061366214,0.98510143
2.4498749,-0.0060807874,0.98521325
2.4536697,-0.006025476,0.98532423
2.4574646,-0.0059706819,0.98543438
2.4612594,-0.0059164003,0.98554371
2.4650542,-0.0058626261,0.98565223
2.468849,-0.0058093544,0.98575994
2.4726439,-0.0057565805,0.98586685
2.4764387,-0.0057042994,0.98597296
2.4802335,-0.0056525064,0.98607828
2.4840284,-0.0056011968,0.98618281
2.4878232,-0.005550366,0.98628657
2.491618,-0.0055000093,0.98638955
2.4954128,-0.005450122,0.98649176
